run_name,concept,n_layer_expert_cells,max_abs_risk,mean_abs_risk,top20_share
mixtral_steermoe_fears_seed7_question_only_paper_eps001_pos20_neg0,mixtral_8x7b_instruct_v0_1_Enclosed spaces,256,0.2280871312213953,0.04811019445123187,0.23485962934188642
mixtral_steermoe_fears_seed7_question_only_paper_eps001_pos20_neg0,mixtral_8x7b_instruct_v0_1_Men,256,0.2291575658178414,0.04805683470215362,0.24940446497026147
mixtral_steermoe_fears_seed7_question_only_paper_eps001_pos20_neg0,mixtral_8x7b_instruct_v0_1_Shadows,256,0.2524815958750512,0.048564109760893454,0.24701594911371655
mixtral_steermoe_fears_seed7_question_only_paper_eps001_pos20_neg0,mixtral_8x7b_instruct_v0_1_Strangers,256,0.228729391979263,0.04779687019743923,0.24308313743875176
mixtral_steermoe_fears_seed7_question_only_with_llama,mixtral_8x7b_instruct_v0_1_Bugs,256,0.228729391979263,0.046233194134937726,0.2406029235803777
mixtral_steermoe_fears_seed7_question_only_with_llama,mixtral_8x7b_instruct_v0_1_Enclosed spaces,256,0.2280871312213953,0.04811019445123187,0.23485962934188642
mixtral_steermoe_fears_seed7_question_only_with_llama,mixtral_8x7b_instruct_v0_1_Men,256,0.2291575658178414,0.04805683470215362,0.24940446497026147
mixtral_steermoe_fears_seed7_question_only_with_llama,mixtral_8x7b_instruct_v0_1_Shadows,256,0.2524815958750512,0.048564109760893454,0.24701594911371655
mixtral_steermoe_fears_seed7_question_only_with_llama,mixtral_8x7b_instruct_v0_1_Strangers,256,0.228729391979263,0.04779687019743923,0.24308313743875176
olmoe_steermoe_fears_seed7_question_only,olmoe_1b_7b_0125_instruct_Bugs,1024,0.3511485103479645,0.03088398339777116,0.1719379242894951
olmoe_steermoe_fears_seed7_question_only,olmoe_1b_7b_0125_instruct_Enclosed spaces,1024,0.4239254036843302,0.03160446753468269,0.17795502459592433
olmoe_steermoe_fears_seed7_question_only,olmoe_1b_7b_0125_instruct_Men,1024,0.3670684557652945,0.02834496531726172,0.18035009089199552
olmoe_steermoe_fears_seed7_question_only,olmoe_1b_7b_0125_instruct_Shadows,1024,0.3661587445985899,0.03169863685467359,0.17299823435441852
olmoe_steermoe_fears_seed7_question_only,olmoe_1b_7b_0125_instruct_Strangers,1024,0.3491016602228792,0.029114755088696792,0.17214890533221475
